"","id","species","brightness","microhab","species_code"
"1","SL14-01","amastroides",1634.963569,"terrestrial",3
"2","SL14-01","amastroides",487.3284303,"terrestrial",3
"3","SL14-01","amastroides",2673.392933,"terrestrial",3
"4","SL14-01","amastroides",2533.397955,"terrestrial",3
"5","SL14-01","amastroides",1049.571759,"terrestrial",3
"6","SL14-01","amastroides",645.7658213,"terrestrial",3
"7","SL14-01","amastroides",1502.784845,"terrestrial",3
"8","SL14-01","amastroides",495.888557,"terrestrial",3
"9","SL14-01","amastroides",1376.769721,"terrestrial",3
"10","SL14-01","amastroides",903.066382,"terrestrial",3
"11","SL14-01","amastroides",754.9923968,"terrestrial",3
"12","SL14-01","amastroides",1062.00077,"terrestrial",3
"13","SL14-01","amastroides",892.0306772,"terrestrial",3
"14","SL14-01","amastroides",501.397518,"terrestrial",3
"15","SL14-01","amastroides",1073.058423,"terrestrial",3
"16","SL14-01","amastroides",2380.814137,"terrestrial",3
"17","SL14-01","amastroides",512.9343057,"terrestrial",3
"18","SL14-01","amastroides",656.9541498,"terrestrial",3
"19","SL14-01","amastroides",2123.190582,"terrestrial",3
"20","SL14-01","amastroides",732.5291782,"terrestrial",3
"21","SL14-01","amastroides",999.301615,"terrestrial",3
"22","SL14-01","amastroides",1561.978827,"terrestrial",3
"23","SL14-01","amastroides",1458.490619,"terrestrial",3
"24","SL14-06","perspectivus",3091.028004,"terrestrial",25
"25","SL14-06","perspectivus",981.9413222,"terrestrial",25
"26","SL14-06","perspectivus",1736.150672,"terrestrial",25
"27","SL14-06","perspectivus",1771.033648,"terrestrial",25
"28","SL14-06","perspectivus",3211.392679,"terrestrial",25
"29","SL14-06","perspectivus",1992.41944,"terrestrial",25
"30","SL14-06","perspectivus",2753.346278,"terrestrial",25
"31","SL14-06","perspectivus",2073.331831,"terrestrial",25
"32","SL14-06","perspectivus",2349.897674,"terrestrial",25
"33","SL14-06","perspectivus",2134.370773,"terrestrial",25
"34","SL14-06","perspectivus",2194.404936,"terrestrial",25
"35","SL14-06","perspectivus",1836.567899,"terrestrial",25
"36","SL14-06","perspectivus",2076.053512,"terrestrial",25
"37","SL14-06","perspectivus",2201.114636,"terrestrial",25
"38","SL14-06","perspectivus",1958.431975,"terrestrial",25
"39","SL14-06","perspectivus",2906.696025,"terrestrial",25
"40","SL14-06","perspectivus",3567.452435,"terrestrial",25
"41","SL14-06","perspectivus",1420.492776,"terrestrial",25
"42","SL14-06","perspectivus",1785.123695,"terrestrial",25
"43","SL14-06","perspectivus",2270.980768,"terrestrial",25
"44","SL14-06","perspectivus",1847.754374,"terrestrial",25
"45","SL14-06","perspectivus",2121.780428,"terrestrial",25
"46","SL14-06","perspectivus",2386.029534,"terrestrial",25
"47","SL14-06","perspectivus",2212.432412,"terrestrial",25
"48","SL14-06","perspectivus",2036.55,"terrestrial",25
"49","SL14-06","perspectivus",1656.147944,"terrestrial",25
"50","SL14-06","perspectivus",1736.555989,"terrestrial",25
"51","SL14-06","perspectivus",2190.52833,"terrestrial",25
"52","SL14-06","perspectivus",1700.64749,"terrestrial",25
"53","SL14-06","perspectivus",1823.3158,"terrestrial",25
"54","SL14-06","perspectivus",1563.977017,"terrestrial",25
"55","SL14-06","perspectivus",2170.722331,"terrestrial",25
"56","SL14-06","perspectivus",2520.186608,"terrestrial",25
"57","SL14-06","perspectivus",2312.992786,"terrestrial",25
"58","SL14-06","perspectivus",2620.528193,"terrestrial",25
"59","SL14-06","perspectivus",2496.60859,"terrestrial",25
"60","SL14-06","perspectivus",2522.090697,"terrestrial",25
"61","SL14-06","perspectivus",3043.833439,"terrestrial",25
"62","SL14-06","perspectivus",2244.484864,"terrestrial",25
"63","SL14-06","perspectivus",2812.801669,"terrestrial",25
"64","SL14-06","chemnitzioides",2452.830644,"terrestrial",10
"65","SL14-06","chemnitzioides",2263.191226,"terrestrial",10
"66","SL14-06","chemnitzioides",2829.682373,"terrestrial",10
"67","SL14-06","chemnitzioides",2495.531604,"terrestrial",10
"68","SL14-06","chemnitzioides",2251.153032,"terrestrial",10
"69","SL14-06","chemnitzioides",2191.078531,"terrestrial",10
"70","SL14-06","chemnitzioides",2777.67492,"terrestrial",10
"71","SL14-06","chemnitzioides",3704.503067,"terrestrial",10
"72","SL14-06","chemnitzioides",3942.715435,"terrestrial",10
"73","SL14-06","chemnitzioides",2474.282977,"terrestrial",10
"74","SL14-06","chemnitzioides",2312.384193,"terrestrial",10
"75","SL14-06","chemnitzioides",3030.891691,"terrestrial",10
"76","SL14-06","chemnitzioides",2573.490502,"terrestrial",10
"77","SL14-06","chemnitzioides",2727.807039,"terrestrial",10
"78","SL14-06","chemnitzioides",3043.233885,"terrestrial",10
"79","SL14-06","chemnitzioides",2513.373872,"terrestrial",10
"80","SL14-06","chemnitzioides",2926.997303,"terrestrial",10
"81","SL14-06","chemnitzioides",4106.001689,"terrestrial",10
"82","SL14-06","chemnitzioides",2902.847517,"terrestrial",10
"83","SL14-06","chemnitzioides",3150.786174,"terrestrial",10
"84","SL14-06","chemnitzioides",3410.654057,"terrestrial",10
"85","SL14-06","chemnitzioides",2631.200312,"terrestrial",10
"86","SL14-06","chemnitzioides",2665.289264,"terrestrial",10
"87","SL14-06","chemnitzioides",3112.34308,"terrestrial",10
"88","SL14-06","chemnitzioides",8529.812023,"terrestrial",10
"89","SL14-07","chemnitzioides",2914.698354,"terrestrial",10
"90","SL14-07","chemnitzioides",1434.446317,"terrestrial",10
"91","SL14-07","chemnitzioides",2384.628607,"terrestrial",10
"92","SL14-07","chemnitzioides",1045.178075,"terrestrial",10
"93","SL14-07","chemnitzioides",1243.870506,"terrestrial",10
"94","SL14-07","chemnitzioides",675.9317795,"terrestrial",10
"95","SL14-07","chemnitzioides",1436.025202,"terrestrial",10
"96","SL14-07","chemnitzioides",1619.632895,"terrestrial",10
"97","SL14-07","chemnitzioides",2478.24517,"terrestrial",10
"98","SL14-07","chemnitzioides",2461.091484,"terrestrial",10
"99","SL14-07","chemnitzioides",2368.44635,"terrestrial",10
"100","SL14-07","chemnitzioides",2856.512833,"terrestrial",10
"101","SL14-07","chemnitzioides",2547.455063,"terrestrial",10
"102","SL14-07","chemnitzioides",4699.496508,"terrestrial",10
"103","SL14-07","chemnitzioides",3673.617472,"terrestrial",10
"104","SL14-07","chemnitzioides",1983.662305,"terrestrial",10
"105","SL14-07","chemnitzioides",1564.93603,"terrestrial",10
"106","SL14-07","chemnitzioides",2258.518378,"terrestrial",10
"107","SL14-07","chemnitzioides",2622.714294,"terrestrial",10
"108","SL14-07","chemnitzioides",2067.717154,"terrestrial",10
"109","SL14-07","chemnitzioides",1824.658221,"terrestrial",10
"110","SL14-07","chemnitzioides",4752.397861,"terrestrial",10
"111","SL14-07","chemnitzioides",1981.468467,"terrestrial",10
"112","SL14-07","chemnitzioides",2856.484548,"terrestrial",10
"113","SL14-07","chemnitzioides",1958.413556,"terrestrial",10
"114","SL14-07","chemnitzioides",3109.856625,"terrestrial",10
"115","SL14-07","chemnitzioides",1505.972216,"terrestrial",10
"116","SL14-07","chemnitzioides",2160.590063,"terrestrial",10
"117","SC14-01","reibischi",7641.740843,"arboreal",30
"118","SC14-02","reibischi",5514.655197,"arboreal",30
"119","SC14-02","reibischi",6481.530311,"arboreal",30
"120","SC14-02","reibischi",9178.950907,"arboreal",30
"121","SC14-02","reibischi",9491.281339,"arboreal",30
"122","SC14-02","reibischi",8918.979541,"arboreal",30
"123","SC14-02","reibischi",6077.632569,"arboreal",30
"124","SC14-02","reibischi",7624.744739,"arboreal",30
"125","SC14-02","reibischi",9543.925293,"arboreal",30
"126","SC14-02","reibischi",5269.529636,"arboreal",30
"127","SC14-02","reibischi",8643.431637,"arboreal",30
"128","SC14-02","reibischi",8371.000243,"arboreal",30
"129","SC14-02","reibischi",11918.37344,"arboreal",30
"130","SC14-02","reibischi",11379.60821,"arboreal",30
"131","SC14-02","reibischi",9913.17105,"arboreal",30
"132","SC14-02","reibischi",6677.133197,"arboreal",30
"133","SC14-02","reibischi",8771.132866,"arboreal",30
"134","SC14-02","reibischi",7327.525819,"arboreal",30
"135","SC14-02","reibischi",5412.561785,"arboreal",30
"136","SC14-02","reibischi",9170.808913,"arboreal",30
"137","SC14-02","reibischi",9207.129156,"arboreal",30
"138","SC14-02","reibischi",7631.221676,"arboreal",30
"139","SC14-02","reibischi",6943.242659,"arboreal",30
"140","SC14-02","reibischi",6451.54706,"arboreal",30
"141","SC14-02","reibischi",5182.725105,"arboreal",30
"142","SC14-02","reibischi",9727.313086,"arboreal",30
"143","SC14-02","reibischi",7109.449632,"arboreal",30
"144","SC14-02","reibischi",7734.748905,"arboreal",30
"145","SC14-02","reibischi",7779.406316,"arboreal",30
"146","SC14-02","reibischi",7800.32325,"arboreal",30
"147","SC14-02","reibischi",5595.664962,"arboreal",30
"148","SC14-02","reibischi",6739.178228,"arboreal",30
"149","SC14-02","reibischi",7437.817798,"arboreal",30
"150","SC14-02","reibischi",6785.144774,"arboreal",30
"151","SC14-02","reibischi",6864.758903,"arboreal",30
"152","SC14-02","reibischi",8258.095386,"arboreal",30
"153","SC14-02","reibischi",7375.645728,"arboreal",30
"154","SC14-02","reibischi",8136.590601,"arboreal",30
"155","SC14-02","reibischi",7196.552707,"arboreal",30
"156","SC14-02","reibischi",6608.870874,"arboreal",30
"157","SC14-02","reibischi",9016.910546,"arboreal",30
"158","SC14-02","reibischi",7887.820488,"arboreal",30
"159","SC14-02","reibischi",9440.009116,"arboreal",30
"160","SC14-02","reibischi",8522.748082,"arboreal",30
"161","SC14-02","reibischi",7756.815805,"arboreal",30
"162","SC14-02","reibischi",8917.042804,"arboreal",30
"163","SC14-02","reibischi",8113.977951,"arboreal",30
"164","SC14-02","reibischi",8800.230837,"arboreal",30
"165","SC14-02","reibischi",6723.973681,"arboreal",30
"166","SC14-02","reibischi",7307.447431,"arboreal",30
"167","SC14-02","reibischi",7899.075645,"arboreal",30
"168","SC14-02","reibischi",7698.190957,"arboreal",30
"169","SC14-02","reibischi",5935.68778,"arboreal",30
"170","SC14-02","reibischi",10119.90112,"arboreal",30
"171","FL14-01","unifasciatus",2485.253142,"terrestrial",44
"172","FL14-01","unifasciatus",1842.59623,"terrestrial",44
"173","FL14-01","unifasciatus",2534.028296,"terrestrial",44
"174","FL14-01","unifasciatus",1865.129717,"terrestrial",44
"175","FL14-01","unifasciatus",854.4537731,"terrestrial",44
"176","FL14-01","unifasciatus",2257.05848,"terrestrial",44
"177","FL14-01","unifasciatus",1000.870158,"terrestrial",44
"178","FL14-01","unifasciatus",2673.7507,"terrestrial",44
"179","FL14-01","unifasciatus",769.5467368,"terrestrial",44
"180","FL14-01","unifasciatus",621.1600857,"terrestrial",44
"181","FL14-01","unifasciatus",1273.706698,"terrestrial",44
"182","FL14-01","unifasciatus",639.1046301,"terrestrial",44
"183","FL14-01","unifasciatus",881.951282,"terrestrial",44
"184","FL14-01","unifasciatus",971.0208724,"terrestrial",44
"185","FL14-01","unifasciatus",4856.090149,"terrestrial",44
"186","FL14-01","unifasciatus",824.8610866,"terrestrial",44
"187","FL14-01","unifasciatus",2163.152055,"terrestrial",44
"188","FL14-01","unifasciatus",1731.778141,"terrestrial",44
"189","FL14-01","unifasciatus",1485.466718,"terrestrial",44
"190","FL14-01","unifasciatus",503.7175013,"terrestrial",44
"191","FL14-01","unifasciatus",1607.047242,"terrestrial",44
"192","FL14-01","unifasciatus",1036.008465,"terrestrial",44
"193","FL14-01","unifasciatus",2069.247813,"terrestrial",44
"194","FL14-01","unifasciatus",1913.297837,"terrestrial",44
"195","FL14-01","unifasciatus",1788.639586,"terrestrial",44
"196","FL14-01","unifasciatus",3599.328005,"terrestrial",44
"197","FL14-01","unifasciatus",3645.909006,"terrestrial",44
"198","FL14-01","unifasciatus",3390.437585,"terrestrial",44
"199","FL14-01","unifasciatus",2953.496191,"terrestrial",44
"200","FL14-01","unifasciatus",3211.202424,"terrestrial",44
"201","FL14-01","unifasciatus",4580.259292,"terrestrial",44
"202","FL14-01","unifasciatus",2242.827647,"terrestrial",44
"203","FL14-01","unifasciatus",2511.591975,"terrestrial",44
"204","FL14-01","unifasciatus",3454.391324,"terrestrial",44
"205","FL14-01","unifasciatus",2489.99347,"terrestrial",44
"206","FL14-01","unifasciatus",2902.835025,"terrestrial",44
"207","FL14-01","unifasciatus",3071.509727,"terrestrial",44
"208","FL14-01","unifasciatus",2675.783151,"terrestrial",44
"209","FL14-01","unifasciatus",1285.27074,"terrestrial",44
"210","FL14-01","unifasciatus",3045.838898,"terrestrial",44
"211","FL14-01","unifasciatus",2281.681352,"terrestrial",44
"212","FL14-01","unifasciatus",2846.238112,"terrestrial",44
"213","FL14-01","unifasciatus",842.0927757,"terrestrial",44
"214","FL14-01","unifasciatus",2887.424006,"terrestrial",44
"215","FL14-01","nux",4875.548305,"arboreal",20
"216","FL14-01","nux",4992.434968,"arboreal",20
"217","FL14-01","nux",4736.240117,"arboreal",20
"218","FL14-01","nux",3583.528608,"arboreal",20
"219","FL14-01","nux",5042.269382,"arboreal",20
